,City,Country,Lat,Long,Temp,Humidity,Wind Speed,Cloudiness
0,Pokhara,NP,28.21,83.99,12.5,85,0.93,89
1,Ushuaia,AR,-54.81,-68.31,5.7099999999999795,75,5.1,75
2,Mataura,NZ,-46.19,168.86,4.100000000000023,92,0.15,86
3,Grand Gaube,MU,-20.01,57.66,20.970000000000027,56,6.7,75
4,Vao,EE,59.1,26.19,15.300000000000011,86,1.88,60
5,Cidreira,BR,-30.17,-50.22,13.300000000000011,77,4.4,38
6,Zhigansk,RU,66.77,123.37,9.899999999999977,58,3.9,3
7,Provideniya,RU,64.42,-173.23,11.300000000000011,79,1.91,52
8,Kabare,RW,-1.65,29.38,13.300000000000011,90,1.03,36
9,Tasiilaq,GL,65.61,-37.64,9.149999999999977,70,1.0,75
10,Camacari,BR,-12.7,-38.32,26.149999999999977,78,4.6,40
11,Kavaratti,IN,10.57,72.64,27.69999999999999,79,7.11,100
12,Punta Arenas,CL,-53.16,-70.91,4.4599999999999795,86,4.1,75
13,Garissa,KE,-0.46,39.64,25.80000000000001,54,9.11,20
14,Puerto Ayora,EC,-0.74,-90.35,24.379999999999995,61,9.3,40
15,Chokurdakh,RU,70.62,147.9,4.600000000000023,79,8.67,99
16,Tuktoyaktuk,CA,69.44,-133.03,20.149999999999977,64,3.6,75
17,Burns Lake,CA,54.23,-125.76,16.899999999999977,49,2.71,0
18,Ocala,US,29.19,-82.14,34.05000000000001,62,3.1,1
19,San Pedro,AR,-33.68,-59.66,17.430000000000007,40,1.79,0
20,Les Cayes,HT,18.19,-73.75,28.80000000000001,75,6.69,1
21,Deputatskiy,RU,69.3,139.9,4.899999999999977,75,6.14,39
22,Tuatapere,NZ,-46.13,167.69,7.699999999999989,78,2.93,100
23,Vaini,IN,15.34,74.49,25.899999999999977,87,1.79,85
24,Berlevag,NO,70.86,29.09,9.149999999999977,81,5.7,20
25,Poum,MK,41.28,20.71,17.149999999999977,77,3.6,75
26,Yokadouma,CM,3.52,15.05,22.0,91,1.04,100
27,Westport,US,41.14,-73.36,28.920000000000016,42,3.1,1
